Reporting starts,Ad set name,Ad set delivery,Results,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,"CPM (cost per 1,000 impressions) (INR)",Purchases,Ends,Starts,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks
2/1/2026,HUFTxSwiggy_SWF_PetSuppliesJan'26_Jan03,active,613,214.4138173,6000,Daily,131435.67,1886070,175620,69.687588,,Ongoing,1/3/2026,7-day click or 1-day view,,1.56812835,catalog_segment_value:omni_purchase,206108,0.679879,2597,10.249994,10918
2/1/2026,HUFTxSwiggy_SWF_LAPetSuppliesJan'26,inactive,,,5000,Daily,0,0,0,0,,Ongoing,1/3/2026,-,,,,,0,,0,
