Reporting starts,Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,"CPM (cost per 1,000 impressions) (INR)",Purchases,Ends,Starts,Attribution setting,Last significant edit,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks
1/1/2026,HUFTxSwiggy_SWF_PetSuppliesJan'26_Jan03,active,561,catalog_segment_actions:omni_purchase,231.0173797,6000,Daily,129600.75,2066847,187732,62.704569,,Ongoing,1/3/2026,7-day click or 1-day view,2026-01-03T11:16:18+0530,,1.42405812,catalog_segment_value:omni_purchase,184559,0.519874,2220,12.061494,8832
1/1/2026,HUFTxSwiggy_SWF_LAPetSuppliesJan'26,inactive,19,catalog_segment_actions:omni_purchase,1045.735263,5000,Daily,19868.97,848566,455574,23.414761,,Ongoing,1/3/2026,7-day click or 1-day view,2026-01-03T11:04:11+0530,,0.25295725,catalog_segment_value:omni_purchase,5026,0.515694,1741,4.540441,3070
