Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Currency code,TrueView avg. CPV,Avg. CPM,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Revenue,CTR,Avg. CPC,Campaign ID,All conv.,Unique users,Engagements,Target ROAS,TrueView views,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,ROAS,Impr.,Clicks,Earned views,Viewable rate,Orders,Purchase value,Conv. rate,Bid strategy type,Viewable CTR,Avg. viewable CPM,Viewable impr.,Participated in-app actions,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value,month_start,source_file
Paused,SD | Dog Name Tag,400.00, --,Daily,Paused,campaign paused, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,1022306090,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,LD_Search-DSA_Broad_BrandCore_India,5000.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,15900539690,0.00,,0,300.1%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,HUFT | Pune,200.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,873252856,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,tags,100.00, --,Daily,Paused,campaign paused; No ad agroups, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,187738016,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Local_Store_Bandra_East_Mumbai_MH,300.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,16015047017,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Birthday Sale up to 60% off,300.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,9244647559,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Local-Greater-Kailash-Store,200.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,16020652540,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Enabled,Search_Dog_Food_Other_Pedigree,800.00, --,Daily,Eligible,unknown,74.84,Search,INR,0.0,630.03,"1,140",3.57%,17.66,20135.6,0.0,0,0.0,41890.57,3.57%,17.66,15256391969,"5,682.28",,0,320%,0, --, --, --, --, --, --, --,0.28,"31,960","1,140",0, --,22.29,0.0,2.13%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,"42,313.93",2.1,24.29,0.0,829.02,"42,313.93",2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,PMax_Local_Store Promotion_Not_picking_Group_2,1000.00, --,Daily,Paused,campaign paused; unknown, --,Performance Max,INR,0.0,7.79,"17,798",0.80%,0.97,17295.88,0.0,0,0.0,0.0,0.80%,0.97,23336267239,"3,840.00",,0, --,0, --, --, --, --, --, --, --,0.22,"2,221,068","17,798",0, --,0.00,0.0,1.80%,Maximize Conversions, --,0.0,0,0.0,322.00,0.02,322.00,0.0,53.71,322.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Search_Cat_All_Kitten,1.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,11495622364,0.00,,0,120%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Brand_Awareness_Saras_Treats_YT,3000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,20184776096,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Target CPM, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
