Order UTM campaign,Order UTM content,Order UTM medium,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,month_start,source_file
DTC_SWF_Conv,DTC_SWF_Video_IfYouCouldCook_Nov10,DTC_SWF_IndiaDogProducts,27,45871.05,-1160.76,0,44710.29,735,0,0,407.89,45853.18,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_WePutSoMuchTrust_Nov17,DTC_SWF_IG-LA2,27,18167.46,-785.18,0,17382.28,1078,0,0,85.14,18545.42,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Meowsi_Conv,DTC_Meowsi_Video_RealMeat&SeaFood_Nov17,DTC_Meowsi_CatInt – Copy,26,8152.18,-431.94,0,7720.24,1078,0,0,193.18,8991.42,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Sara_Conv_PP_Jun23 Campaign,DTC_SaraBoosters_Video_Bone&Supplements_Dec5,DTC_Sara_Conv_PP_Jun23 Ad Set,25,13120.75,-780.46,0,12340.29,931,0,0,344.91,13616.2,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Meowsi_Conv,DTC_Meowsi_Video_DetectiveIris_NOv11,DTC_Meowsi_CatInt – Copy,23,8911.69,-421.88,0,8489.81,980,0,0,74.16,9543.97,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
Social_Bio,IG_sales_bio,Social,22,38991.7,-1013.64,0,37978.06,245,0,0,1245.95,39469.01,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Meowsi_Conv,DTC_Meowsi_Video_MostCatParentsFtNishad_Nov24,DTC_Meowsi_CatInt,22,14202.22,-335.55,0,13866.67,686,0,0,52.43,14605.1,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Sara.Treats_Conv_May'24,DTC_SaraTreats_Video_SundayMonday_Oct13,DTC_SaraTreats_TopStates,20,27071.76,-1262.6,0,25809.16,294,0,0,774.54,26877.7,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_WeDontMakeDogFood_Oct06,DTC_SWF_Conv_TopSWFCities,19,22706.87,-193.67,0,22513.2,392,0,0,188.17,23093.37,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Yakies_Manual,DTC_Yakies_Video_CalciumRich_Dec12,DTC_Yakies_DogDental,19,5133.98,-226.02,0,4907.96,882,0,0,110.8,5900.76,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
