Order UTM medium,Order UTM campaign,Orders,Total sales,Gross sales,Net sales,Average order value,Orders (previous_period),Total sales (previous_period),Gross sales (previous_period),Net sales (previous_period),Average order value (previous_period),Orders (previous_period) ,Total sales (previous_period) ,Gross sales (previous_period) ,Net sales (previous_period) ,Average order value (previous_period) ,month_start,source_file,Orders (previous_month),Total sales (previous_month),Gross sales (previous_month),Net sales (previous_month),Average order value (previous_month),Orders (previous_month) ,Total sales (previous_month) ,Gross sales (previous_month) ,Net sales (previous_month) ,Average order value (previous_month) 
Search,Search_Dog_Food_Sara_Wholesome_Food,73,170570.25,171464.71,167172.63,2290.036,51.0,106178.69,106608.68,102943.42,2018.498,43.13725490196079,60.644,60.835,62.392,13.452,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Other_Sheba,33,143059.35,146088.09,142429.12,4316.033,17.0,40045.39,40594.78,38854.53,2285.56,94.11764705882354,257.242,259.869,266.57,88.839,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Food_Other_Generic,45,140886.43,143678.18,140293.32,3117.629,25.0,100015.95,100144.78,97608.55,3904.342,80.0,40.863,43.47,43.73,-20.149,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Master_Catalog_Healthcare,58,128794.17,127782.81,123897.63,2136.166,82.0,165788.38,162651.01,158028.53,1927.177,-29.26829268292683,-22.314,-21.437,-21.597,10.844,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_HUFT_Treats_Biscuits,109,110379.95,107952.44,104403.5,957.83,27.0,31464.57,31054.82,30527.04,1130.631,303.7037037037037,250.807,247.618,242.003,-15.283,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_Collar_Leash_Harness,62,107311.59,107517.77,104066.37,1678.489,180.0,314554.77,309695.27,303354.17,1685.3,-65.55555555555556,-65.884,-65.282,-65.694,-0.404,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Treats_HUFT_Biscuits,49,106028.21,107501.5,104322.14,2129.023,51.0,72378.2,72153.34,69830.19,1369.219,-3.92156862745098,46.491,48.99,49.394,55.491,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_Cat_Food_Meowsi,46,104905.91,104287.3,101283.56,2201.816,62.0,99760.91,99994.93,96221.6,1551.961,-25.806451612903224,5.157,4.292,5.26,41.873,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
,Pmax_Nutrimeow,63,98831.44,97829.84,95392.3,1514.163,4.0,2975.18,2709.48,2695.76,673.94,1475.0,3221.864,3510.65,3438.605,124.673,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_Collar_Leash_Harness_DashDog,37,97839.85,98703.72,96075.46,2596.634,66.0,162943.21,161055.11,157785.64,2390.691,-43.93939393939394,-39.954,-38.714,-39.11,8.614,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
