Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,"CPM (cost per 1,000 impressions) (INR)",Purchases,Ends,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks,month_start,source_file,Reporting starts,Bid
BlinkitXHuft_SWF_DogNeeds,active,2033,catalog_segment_actions:omni_purchase,113.1292819,3500,Daily,229991.83,4068605,780811,56.528424,,Ongoing,7-day click or 1-day view,,2.97017507,catalog_segment_value:omni_purchase,683116,0.384432,,14.70442,11665,2025-12,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit0MetaDashboard-Dec_25.csv,,
BlinkItXHuft_Saras_Adsetmissing,active,1135,catalog_segment_actions:omni_purchase,167.2479736,3500,Daily,189826.45,3358392,639974,56.523018,,,7-day click or 1-day view,,1.80434813,,342513,0.316104,,17.881165,8175,2026-01,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaDashboard-Jan_26.csv,1/1/2026,
BlinkItXHuft_Saras_Adsetmissing,inactive,272,catalog_segment_actions:omni_purchase,293.8778677,3000,Daily,79934.78,1838632,476224,43.475138,,,"7-day click, 1-day view or 1-day engaged view",,0.92698072,,74098,0.319313,,13.61519,4698,2026-01,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaDashboard-Jan_26.csv,1/1/2026,
BlinkItXHuft_Saras_Adsetmissing,active,1110,catalog_segment_actions:omni_purchase,149.1013514,8500,Daily,165502.5,2290900,314982,72.243441,,,"7-day click, 1-day view or 1-day engaged view",,1.86205042,,308174,0.399581,,18.079801,7762,2026-01,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaDashboard-Jan_26.csv,1/1/2026,
BlinkitXHuft_SWF_DogNeeds,active,1067,catalog_segment_actions:omni_purchase,95.34570759,3500,Daily,101733.87,1438984,281568,70.698402,,,7-day click or 1-day view,,3.21543848,catalog_segment_value:omni_purchase,327119,0.385967,,18.317225,3792,2026-02,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaSashboard-Feb_26.csv,,0.0
BlinkitXHUFT_SWF_DogNeeds2%Dec_Jan06,inactive,71,catalog_segment_actions:omni_purchase,115.3829578,3000,Daily,8192.19,309003,127145,26.511684,,,"7-day click, 1-day view or 1-day engaged view",,2.75115689,catalog_segment_value:omni_purchase,22538,0.265046,,10.002674,670,2026-02,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaSashboard-Feb_26.csv,,0.0
BlinkitXHUFT_SWF_DogNeeds365Days_Jan06,active,2138,catalog_segment_actions:omni_purchase,92.74683349,8500,Daily,198292.73,3271175,329267,60.618197,,,"7-day click, 1-day view or 1-day engaged view",,3.17281425,catalog_segment_value:omni_purchase,629146,0.317684,,19.081287,8522,2026-02,dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaSashboard-Feb_26.csv,,0.0
