"Order UTM campaign","Order UTM content","Order UTM medium","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"DTC_SWF_Conv","DTC_SWF_Video_IfYouCouldCook_Nov10","DTC_SWF_IndiaDogProducts",27,45871.05,-1160.76,0,44710.29,735,0,0,407.89,45853.18
"DTC_SWF_Conv","DTC_SWF_WePutSoMuchTrust_Nov17","DTC_SWF_IG-LA2",27,18167.46,-785.18,0,17382.28,1078,0,0,85.14,18545.42
"DTC_Meowsi_Conv","DTC_Meowsi_Video_RealMeat&SeaFood_Nov17","DTC_Meowsi_CatInt – Copy",26,8152.18,-431.94,0,7720.24,1078,0,0,193.18,8991.42
"DTC_Sara_Conv_PP_Jun23 Campaign","DTC_SaraBoosters_Video_Bone&Supplements_Dec5","DTC_Sara_Conv_PP_Jun23 Ad Set",25,13120.75,-780.46,0,12340.29,931,0,0,344.91,13616.2
"DTC_Meowsi_Conv","DTC_Meowsi_Video_DetectiveIris_NOv11","DTC_Meowsi_CatInt – Copy",23,8911.69,-421.88,0,8489.81,980,0,0,74.16,9543.97
"Social_Bio","IG_sales_bio","Social",22,38991.7,-1013.64,0,37978.06,245,0,0,1245.95,39469.01
"DTC_Meowsi_Conv","DTC_Meowsi_Video_MostCatParentsFtNishad_Nov24","DTC_Meowsi_CatInt",22,14202.22,-335.55,0,13866.67,686,0,0,52.43,14605.1
"DTC_Sara.Treats_Conv_May'24","DTC_SaraTreats_Video_SundayMonday_Oct13","DTC_SaraTreats_TopStates",20,27071.76,-1262.6,0,25809.16,294,0,0,774.54,26877.7
"DTC_SWF_Conv","DTC_SWF_Video_WeDontMakeDogFood_Oct06","DTC_SWF_Conv_TopSWFCities",19,22706.87,-193.67,0,22513.2,392,0,0,188.17,23093.37
"DTC_Yakies_Manual","DTC_Yakies_Video_CalciumRich_Dec12","DTC_Yakies_DogDental",19,5133.98,-226.02,0,4907.96,882,0,0,110.8,5900.76
"DTC_Meowsi_Conv","DTC_Meowsi_Video_WhatsForDinnerFtEclairs_Sept22","DTC_Meowsi_CatInt",18,15211.58,-195.65,0,15015.93,441,0,0,388.62,15845.55
"DTC_SWF_Conv","DTC_SWF_winter_issues_rashi_Dec23_AM","DTC_SWF_IndiaDogProducts",17,17247.93,-1475.93,0,15772,441,0,0,682.78,16895.78
"DTC_YIMT_ASC_PP Ad set","DTC_YIMT_Singles&Combos_Catalog_PP_ASC_26March24","DTC_YIMT_ASC_PP Campaign",17,8445.26,-267.8,0,8177.46,686,0,0,49.53,8912.99
"DTC_SWF_Conv","DTC_SWF_Video_SomethingDoneRight_Nov21","DTC_SWF_IndiaDogProducts",16,16850.48,-502,0,16348.48,490,0,0,43.33,16881.81
"DTC_Hearty_Conv_Manual","DTC_HeartyK_Video_NoFoulSmell_Nov18","DTC_Hearty_Conv_DogHealth",16,40453.7,-2728.24,0,37725.46,245,0,0,1277.27,39247.73
"DTC_Hearty_3PAud_Sales","DTC_Hearty_NotMadeInLab_Nov11","DTC_Hearty_ThirdPartyRCFarmOrAcana",15,23530.47,-1744.47,0,21786,245,0,0,32.42,22063.42
"DTC_Winter'25_Conv","DTC_Winter'25_Video_JacketsComp_Nov21","DTC_Winter'25_Lifestyle",15,35685.46,-3029.72,0,32655.74,0,0,0,537.56,33193.3
"DTC_Hearty_3PAud_Sales","DTC_Hearty_Video_XmasSpecial_Dec09","DTC_Hearty_ThirdPartyRCFarmOrAcana",14,24521.88,-1384.99,0,23136.89,196,0,0,969.95,24302.84
"DTC_Hearty_Conv_Manual","DTC_HeartyB_Video_Poppins&Sam_Nov18","DTC_Hearty_Conv_TopCitesPetFood",14,15377.49,-879.17,0,14498.32,392,0,0,166.68,15057
"DTC_SWF_Conv","DTC_SWF_Video_BestDogFood_Dec09","DTC_SWF_Conv_TopSWFCities",12,10138.79,-901.64,0,9237.15,490,0,0,0,9727.15
"DTC_Sara.Treats_Conv_May'24","DTC_SaraTreats_Video_Winter-SuperFoods_Dec05","DTC_SaraTreats_TopStates",12,11774.21,-1026.2,0,10748.01,343,0,0,356.06,11447.07
"DTC_NutriMeow_Conv","DTC_NutriMeow_Video_USP+Varinats_Dec08","DTC_NutriMeow_Cat",12,7585.17,-334.23,0,7250.94,294,0,0,19.83,7564.77
"Hearty_Kibble","Hearty_Kibble_IG_FB","Social",11,22599.47,-714.95,0,21884.52,98,0,0,775.63,22758.15
"DTC_Winter'25_Conv","DTC_Winter'25_Static_CosiestComfiestPetBeds_Nov03","DTC_Winter'25_Lifestyle",11,28208.36,-1237.45,0,26970.91,49,0,0,195.44,27215.35
