"Product title at time of sale","Product variant title at time of sale","Orders","Net items sold","Total sales","Discounts","Average order value","New customers"
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 7",2,2,1503.5,-121.9,751.75,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 7",2,2,3562.29,-288.83,1781.145,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India, 300 g – Human-Grade","Pack of 1",2,2,592.27,-65.73,296.135,0
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 1",1,2,568.1,0,568.1,1
"Sara's Wholesome Classic Range Dog Food Combo - 2x300 gm",,1,2,1076.4,0,1076.4,1
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","300 g / Pack Of 1",2,2,758.55,-19.45,379.275,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food for Dogs – Human-Grade, Preservative-Free","100 gm / Pack Of 1",1,2,258,0,236.7,0
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free – 300 gm","Pack Of 7",1,1,1636.73,-288.83,1636.73,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 14",1,1,1247.4,0,1247.4,0
"Sara's Wholesome Flavours of India Vegetable Biryani Wet Dog Food, 100% Vegetarian, Human-Grade Ingredients – Preservative-Free, Farm-Fresh","100 gm / Pack Of 10",1,1,891,0,891,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade","300 g / Pack of 10",1,1,2961,0,2961,0
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free","300 gm / Pack Of 1",1,1,299,0,299,1
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 21",1,1,2187.52,-105.62,2006.9,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 4",1,1,323.14,-57.02,323.14,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food for Dogs – Human-Grade, Preservative-Free – 300 gm","Pack Of 10",1,1,2812.95,-135.82,2580.69,0
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free – 300 gm","Pack Of 5",1,1,1420.25,0,1420.25,0
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 21",1,1,4536.58,-800.57,4536.58,1
"Sara's Wholesome Hypoallergenic Duck & Quinoa Wet Food for Dogs – Human-Grade, Gluten-Free – 300 g","Pack Of 10",1,1,3325.95,-175.05,3325.95,0
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 14",1,1,1475.4,-150,1475.4,1
"Sara's Wholesome Hypoallergenic Duck & Quinoa Wet Food for Dogs – Human-Grade, Gluten-Free – 300 g","Pack Of 7",1,1,2328.17,-112.41,2135.94,0
"Sara's Wholesome Hypoallergenic Duck & Quinoa Wet Food for Dogs – Human-Grade, Gluten-Free – 300 g","Pack Of 5",1,1,1847.75,0,1847.75,0
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free – 300 gm","Pack Of 10",1,1,2287.35,-403.65,2287.35,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","100 gm / Pack of 1",1,1,109.65,-19.35,109.65,1
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 14",1,1,1625.4,0,1625.4,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India","100 g / Pack of 10",1,1,986.85,-174.15,986.85,0
"Sara's Wholesome Flavours of India Vegetable Biryani Wet Dog Food, 100% Vegetarian, Human-Grade Ingredients – Preservative-Free, Farm-Fresh","100 gm / Pack Of 5",1,1,399.72,-70.53,399.72,1
"Sara's Wholesome Food Chicken Biryani - Flavours of India","300 g / Pack of 10",1,1,2556.45,-123.44,2345.37,0
