"Order UTM campaign","Order UTM content","Order UTM medium","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"DTC_Sara.Treats_Conv_May'24","DTC_SaraTreats_Video_Winter-SuperFoods_Dec05","DTC_SaraTreats_TopStates",5,2732.42,-197.94,0,2534.48,196,0,0,0,2730.48
"DTC_Sara.Treats_Conv_May'24","DTC_SaraTreats_Video_PhirSeChickenFtPinky_Nov24","DTC_SaraTreats_TopStates",4,4300.63,-437.25,0,3863.38,49,0,0,0,3912.38
"DTC_SWF_Conv","DTC_SWF_Video_15Secs-NoTerms&Conditions_Feb04","DTC_SWF_IG-LA2",4,1404.8,-133.65,0,1271.15,147,0,0,0,1418.15
"DTC_SWF_Conv","DTC_SWF_Video_Rs.99FtRashi_Jan16","DTC_SWF_IG-LA2",4,2009.42,-16.4,0,1993.02,147,0,0,0,2140.02
"DTC_Sara_Conv_PP_Jun23 Campaign","DTC_SaraBoosters_Video_Bone&Supplements_Dec5","DTC_Sara_Conv_PP_Jun23 Ad Set",4,1945,-39.9,0,1905.1,147,0,0,0,2052.1
"DTC_SWF_Conv","DTC_SWF_Video_15Secs-Anmol'sTestimonial_Feb4","DTC_SWF_IG-LA2",4,1497.71,-60.2,0,1437.51,196,0,0,61.42,1694.93
"DTC_CatTreats_Conv","DTC_CatTreats_Static_TreatWithLove_Feb12","DTC_CatTreats_CatBreeds_Jan30",3,1455.2,-29.14,0,1426.06,147,0,0,0,1573.06
"DTC_Hearty_Conv_Manual","DTC_HeartyK_Video_DogFoodChupanaKyu_Dec31","DTC_Hearty_Conv_DogHealth",3,4267.1,0,0,4267.1,49,0,0,0,4316.1
"DTC_YIMT_Conv_PP","DTC_YIMT_Video_Testimonials_Jan14","DTC_YIMT_Conv_Dog-In_PP",3,773.87,-83.07,0,690.8,147,0,0,68.95,906.75
"DTC_NutriMeow_Conv","DTC_NutriMeow_Static_JUstRs65_Feb11","DTC_NutriMeow_Cat",3,849,-78.6,0,770.4,147,0,0,0,917.4
"DTC_YIMT_Conv_PP","DTC_YIMT_Static_RealChicken","DTC_YIMT_Conv_Dog-In_PP",3,1294.36,-11.25,0,1283.11,98,0,0,0,1381.11
"DTC_HUFTGourmetToys_Conv","DTC_HUFTToys_Static_EOSS_Jan05","DTC_HUFTGourmetToys_PetToys",3,2575.2,-219.39,0,2355.81,49,0,0,0,2404.81
"Cat_food_meowsi","IG_sales_bio","Social",3,1897.96,-23.79,0,1874.17,98,0,0,24.77,1996.94
"DTC_Sara.Treats_Conv_May'24","DTC_Sara.Treat_Catalogue_May05","DTC_SaraTreats_Travel",3,1155.36,0,0,1155.36,147,0,0,0,1302.36
"DTC_SWF_Conv","DTC_SWF_VIdeo_30Secs-NoTerms&Conditions_Feb04","DTC_SWF_IndiaDogProducts",2,941.7,-121.9,0,819.8,98,0,0,0,917.8
"DTC_YIMT_Conv_PP","DTC_YIMT_Video_PickingTheRightMunchies-Feb04","DTC_YIMT_Conv_Dog-In_PP",2,659.3,-67.5,0,591.8,98,0,0,0,689.8
"DTC_SWF_Conv","DTC_SWF_30Sec-Rs.99PerMealFtRashi_Jan21","DTC_SWF_Metros_BrandFilm",2,228,-14.85,0,213.15,98,0,0,0,311.15
"DTC_SWF_Conv","DTC_SWF_Video_15secs-InspiredByHome_Jan21","DTC_SWF_Conv_TopSWFCities",2,5319.44,-288.83,0,5030.61,0,0,0,0,5030.61
"DTC_NutriMeow_Conv","DTC_NutriMeow_Video_Cat'sStool_Dec30","DTC_NutriMeow_Cat",1,390,0,0,390,49,0,0,0,439
"DTC_NutriMeow_Conv","DTC_Nutrimeow_Video_5ReasonsToSwitch_Feb20","DTC_NutriMeow_Cat",1,1039.7,0,0,1039.7,0,0,0,0,1039.7
"DTC_CLH_Conv_06Aug","DTC_CLH_EOSS_Jan05","DTC_CLH_CONV_India_OldPerfAud",1,2403,-120.13,0,2282.87,0,0,0,0,2282.87
"DTC_Hearty_3PAud_Sales","DTC_Hearty_Static_DogFoodNahiFuel_Feb11","DTC_Hearty_ThirdPartyRCFarmOrAcana",1,697.3,-17.41,0,679.89,49,0,0,0,728.89
"DTC_HUFTTreats_Conv_Feb11","DTC_HUFTDogTreats_Static_HealthyDogTreat_Feb11","DTC_HUFTDogTreats_DogFood_Feb11",1,373.32,-18.65,0,354.67,49,0,0,63.84,467.51
"DTC_Hearty_Conv_Manual","DTC_Hearty_Video_GravyConsistencySam_Nov6_Group_1","DTC_Hearty_Conv_DogHealth",1,1141.13,0,0,1141.13,0,0,0,205.4,1346.53
"DTC_Meowsi_Conv","DTC_Meowsi_Video_UTIinWinters_Dec29","DTC_Meowsi_LA-CatFood&Breeds",1,149,-22.35,0,126.65,49,0,0,0,175.65
"DTC_Meowsi_Conv","DTC_Meowsi_15Sec-Riya'sTestimonial_Feb05","DTC_Meowsi_CatInt",1,659,-18,0,641,49,0,0,0,690
"DTC_Meowsi_Conv","DTC_Meowsi_Static_CatnipTreatsForAnxiety_Feb20","DTC_Meowsi_CatInt",1,707.75,-35.38,0,672.37,49,0,0,0,721.37
"DTC_SWF_Conv","DTC_SWF_Video_30Secs-InspiredByHome_Jan21","DTC_SWF_IndiaDogProducts",1,3159.2,-150,0,3009.2,0,0,0,0,3009.2
"DTC_Sara.Treats_Conv_May'24","DTC_SaraTreats_Video_CompilationTestimonials_Jan13","DTC_SaraTreats_Travel&Dog",1,366.05,-54.9,0,311.15,49,0,0,28,388.15
"DTC_SWF_Conv","DTC_SWF_Video_WeDontMakeSameFood_Dec5","DTC_SWF_Conv_478cities",1,950,0,0,950,0,0,0,0,950
"DTC_Sara_Conv_PP_Jun23 Campaign","DTC_SB_Video_DogsWillBeDogs_July08","DTC_Sara_Conv_PP_Jun23 Ad Set",1,2226,0,0,2226,0,0,0,0,2226
"DTC_Bed","DTC_Bed","DTC_Bed",1,3899,-150,0,3749,0,0,0,0,3749
"DTC_Sara.Treats_Conv_May'24","DTC_SaraTreats_Video_CompilationTestimonials_Jan13","DTC_SaraTreats_Travel",1,109.32,-5.46,0,103.86,49,0,0,18.69,171.55
"DTC_Sara_Conv_PP_Jun23 Campaign","DTC_SaraBoosters_Video_ExtraCare_Jan22","DTC_Sara_Conv_PP_Jun23 Ad Set",1,349,-17.45,0,331.55,49,0,0,0,380.55
"DTC_Hearty_3PAud_Sales","DTC_HeartyK_Static_RealLoveTakesEffort_Feb11","DTC_Hearty_ThirdPartyRCFarmOrAcana",1,500,0,0,500,49,0,0,0,549
"DTC_Hearty_ASC_Catalogue_Oct1","DTC_Hearty_Catalogue_HUFTFrame_Oct01","DTC_Hearty_ASC_Cat_3P",1,524,0,0,524,49,0,0,0,573
