month_start,channel,paid_spend,revenue_paid_attribution,revenue_shopify_attribution,roas_paid_attribution,roas_shopify_attribution
2025-12,blinkit_cpass,229991.83,683116.0,,2.970175071001435,
2025-12,google,408498.63,1148756.95,1241285.08,2.812143947704304,3.0386517575346583
2026-01,blinkit_cpass,435263.73,724785.0,,1.665162865741191,
2026-01,google,236296.86000000002,839583.53,802433.23,3.553087967398297,3.395869204525189
2026-01,instamart_cpass,149469.72,189585.0,,1.2683839910852848,
2026-02,blinkit_cpass,308218.79000000004,978803.0,,3.175675954084434,
2026-02,google,355429.41,787081.33,754449.99,2.214451893556023,2.1226436776855353
2026-02,instamart_cpass,131435.67,206108.0,,1.5681283475026222,
