month_start,meta_spend,meta_impressions,meta_reach,Meta_New,google_branded_search_volume,D2C_New,D2C_Repeat
2025-12,1409651.57,16193131.0,6339382.0,,3250.0,7735.0,17647.0
2026-01,775995.8400000001,11100465.0,4023140.0,,3230.0,6165.0,15846.0
2026-02,779293.5700000001,11946131.0,3865727.0,,,4442.0,12325.0
