"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (INR)","Link clicks","CPC (cost per link click) (INR)","CTR (link click-through rate)","CTR (all)","CPC (all) (INR)","Clicks (all)","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)","In-app purchase ROAS (return on ad spend)"
2026-01-01,2026-01-31,DTC_Dog_Interest_Conversion,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Retargeting_Brand_CatalogSales_ATC,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_CLH_Conv_06Aug,active,"7-day click or 1-day view",243,actions:offsite_conversion.fb_pixel_purchase,162798,2.248836,319.26012346,"Using ad set budget",0,77580.21,Ongoing,366106,211.906415,5664,13.697071,1.547093,1.847825,11.46788,6765,5.666771,5.666771,
2026-01-01,2026-01-31,DTC_CatProducts_Conv_08Aug24,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_SWF_ASC_Conv Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_GoatMilkCookies_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_FestiveCatalogue_ASC Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Winter'24_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_HeartyASC_Conv Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ThirdParty_CatFood_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_HUFTGourmetToys_Conv,active,"7-day click",131,actions:offsite_conversion.fb_pixel_purchase,102260,2.100332,478.45778626,"Using ad set budget",0,62677.97,Ongoing,214780,291.824053,3645,17.195602,1.697085,1.892169,15.422729,4064,4.760932,4.760932,
2026-01-01,2026-01-31,DTC_PuppyGrooming_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_MeowsiASC_Conv Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_RCVetFood_AppDownloads,inactive,-,,,0,0,,2000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_RCVetFood_AppDownloads_Apr14,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ThirdParty_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_NutriWag_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_TreatsSale_June'25,inactive,-,,,0,0,,4000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_TShirts_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ThirdParty_Catalogue,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_NutriMeow_Conv,active,"7-day click",92,actions:purchase,233798,2.717872,659.19032609,"Using ad set budget",0,60645.51,Ongoing,635433,95.439661,4968,12.207228,0.781829,8.32755,1.146071,52916,2.804442,1.020243,1.7842
2026-01-01,2026-01-31,DTC_DogFood_Upto15%OFF,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_HUFTTreats_ASC_Jan12,inactive,-,,,0,0,,4000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Essentials_Carousel_Conversions,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Cat_Products_Conversions,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_TT_Sales_Promo_June22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Bofu_Dog_Toys_Remarketing_CS,inactive,-,,,0,0,,5000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Bofu_Dog_Walk_Essentials_Remarketing_CS,inactive,-,,,0,0,,4000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"Advantage+ shopping DTC_Tofu_KS_Categories_Conversions Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Bofu_Remarketing_CS,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"Advantage+ DTC_Tofu_Dog_Sweatshirts_CS_Conversion Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Advantage+ Winter_Collection_Prospecting_2022 Campaign_WW",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Winter_Collection_Remarketing_CS,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Festive_Collection_Conversion Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Tofu_TShirts_Conv_Feb_2023,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Goatmilk_Cookies_Conversion Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Winter_Collection_Remarketing_Video,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Conversions_Consumables,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Winter_Reach_Store_Xeno,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_IG_Ads_Test_Dec22 Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Dog_Harness_Conversion_Dec22 Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Catalogue Sales_Prospecting_DEC2022",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Dog_Grooming_2023 Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Conversions_Non_Consumables,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Dog_Food_Advantage+shopping Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Sara_Conv_PP_Jun23,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Sara_Conv_PP_Jun23 Campaign",active,"7-day click or 1-day view",70,actions:offsite_conversion.fb_pixel_purchase,169605,2.127437,707.65171429,"Using ad set budget",0,49535.62,Ongoing,360824,137.284715,7234,6.847611,2.004856,3.312418,4.144547,11952,2.309646,1.724419,0.585227
2026-01-01,2026-01-31,DTC_Dog_Treats_Sales_Carousel,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Clearance_May22,inactive,-,,,0,0,,7000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
