"Order UTM medium","Order UTM campaign","Orders","Total sales","Gross sales","Net sales","Average order value","Orders (previous_month)","Total sales (previous_month)","Gross sales (previous_month)","Net sales (previous_month)","Average order value (previous_month)","Orders (previous_month) ","Total sales (previous_month) ","Gross sales (previous_month) ","Net sales (previous_month) ","Average order value (previous_month) "
"Search","Search_Dog_Collar_Leash_Harness",9,16057.9,16420.02,15820.02,1757.78,28,60521.56,61366.41,59432.68,2122.595,-67.85714285714286,-73.467,-73.242,-73.381,-17.187
"Search","Search_Dog_Collar-Leash-Harness",11,11728.7,11891.02,11591.02,1053.729,17,23243.73,22848.63,22510.17,1324.127,-35.294117647058826,-49.54,-47.957,-48.507,-20.42
"PMax","PMax_Cat_Food_Other",10,10196,10075.1,9787.51,978.751,25,31514.5,31218.47,30875.69,1235.027,-60,-67.646,-67.727,-68.3,-20.75
"PMax","Pmax_Cat_Treats_Other",11,9415.27,9239.8,8915.87,810.533,18,19523.75,19424.21,18758.75,1042.152,-38.888888888888886,-51.775,-52.431,-52.47,-22.225
"PMax","Pmax_Hearty_Dog_Food",4,6555.84,6506.84,6506.84,1626.71,6,8804.55,8867.77,8565.21,1427.535,-33.333333333333336,-25.54,-26.623,-24.031,13.952
"Search","Search_DSA",2,5697.3,5898.3,5648.3,2824.15,24,39388.98,39171.59,37896.37,1579.015,-91.66666666666667,-85.535,-84.942,-85.095,78.855
"PMax","Pmax_Cat_Food",1,4550,3961.86,3855.93,3855.93,1,4550,3961.86,3855.93,3855.93,0,0,0,0,0
"PMax","PMax_HUFT_Treat_Biscuits",1,3406.8,3556.8,3406.8,3406.8,0,0,0,0,,,,,,
"Pmax_HUFT_Treats_and_Biscuits","PMax_HUFT_Treat_Biscuits",1,3226.3,2734.15,2734.15,2734.15,1,4772.92,4256.7,4044.85,4044.85,0,-32.404,-35.768,-32.404,-32.404
"Search","Search__Farmina_Dog_Food_Cat_Food",1,2332.44,2455.2,2332.44,2332.44,0,0,0,0,,,,,,
"PMax","PMax_Dog_Food_Cat_Food_Royal_Canin",1,1542.1,1713.42,1542.1,1542.1,2,1106.34,1149.81,1057.34,528.67,-50,39.387,49.017,45.847,191.694
"Search","Search_Dog_Food_Other_Brands",1,835.17,879.12,835.17,835.17,20,65013.22,66074.64,64707.01,3235.35,-95,-98.715,-98.669,-98.709,-74.186
"PMax_Master_Catalog_Healthcare","PMax_Master_Catalog_Healthcare",1,800,800,800,800,0,0,0,0,,,,,,
,,0,0,0,0,,1,7499,7499,7499,7499,-100,-100,-100,-100,
"PMax","PMax_Collar_Leash_Harness",0,0,0,0,,62,107311.59,107517.77,104066.37,1678.489,-100,-100,-100,-100,
"PMax","Pmax_Grooming_Dog_Cat",0,0,0,0,,29,37752,36493.85,36003.68,1241.506,-100,-100,-100,-100,
"Search","Search_Dog_Toys",0,0,0,0,,10,8381.74,8041.89,7899.13,789.913,-100,-100,-100,-100,
"PMax","Pmax_Dog_Food_Hearty",0,0,0,0,,1,2912.4,2809.54,2671.93,2671.93,-100,-100,-100,-100,
"PMax","Pmax_All_Toys",0,0,0,0,,20,19730.77,18201.59,18043.01,902.15,-100,-100,-100,-100,
"PMax","PMax_Collar_Leash_Harness_DashDog",0,0,0,0,,37,97839.85,98703.72,96075.46,2596.634,-100,-100,-100,-100,
"PMax","Pmax_Master_Catalog_Healthcare",0,0,0,0,,58,128794.17,127782.81,123897.63,2136.166,-100,-100,-100,-100,
