Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,"CPM (cost per 1,000 impressions) (INR)",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks
DTC_SWF_Conv_478cities,249,605.2022088,5000,150695.35,1046564,428474,143.990573,249,7-day click or 1-day view,3.066179,3.06617855,462058.85,1.071697,118128,13.435748,5039
DTC_SWF_Conv_TopSWFCities,159,747.4005031,3000,118836.68,677511,271134,175.401846,159,7-day click or 1-day view,2.357415,2.3574154,280147.42,1.003969,8179,17.470844,4371
DTC_SWF_IndiaDogProducts,397,462.4884131,5000,183607.9,1002116,221992,183.220206,397,7-day click or 1-day view,4.879505,4.8795048,895915.63,4.635691,114682,3.952382,49088
DTC_SWF_IG-LA2,238,554.3105462,4000,131925.91,2976821,1603613,44.317717,238,"7-day click, 1-day view or 1-day engaged view",3.328227,3.32822726,439079.41,0.411546,257154,10.768583,5078
DTC_SWF_Metros_BrandFilm,612,317.3655719,7000,194227.73,6243119,1340514,31.110688,612,"7-day click, 1-day view or 1-day engaged view",7.196716,7.19671594,1397801.8,0.5446,305767,5.71258,11159
